,ALAD,DSEBM,DeepSVDD,DROCC,AutoEncoder,DAGMM,MemAE,NeuTraLAD
Benign,60.05,61.93,46.73,58.60,76.32,73.88,69.57,63.94
Bot,49.97,55.67,0.09,50.04,1.24,44.24,99.84,48.91
DDoS,50.22,41.46,20.19,47.18,62.48,56.02,56.34,25.19
DoS,54.47,57.53,71.97,29.81,100.00,94.61,71.47,98.45
FTP-BruteForce,33.27,82.56,0.00,0.00,0.00,66.72,33.27,0.00
Infiltration,32.81,36.87,47.32,46.06,40.30,25.53,26.27,34.74
SSH-Bruteforce,49.98,69.01,49.97,50.03,0.00,99.99,49.98,0.00
Web Attack,63.69,53.99,16.92,63.15,65.41,50.32,75.75,41.92
Precision,49.98,52.32,33.31,48.17,70.35,67.30,61.90,55.89
Recall,48.97,51.28,32.63,47.19,68.93,65.94,60.65,56.04
F1-Score,49.47,51.79,32.97,47.68,69.63,66.61,61.27,55.97
AUPR,46.39,47.65,37.67,47.20,72.74,71.71,61.35,51.99
