n_components,f1-score
1,0.4796653370808987
2,0.4503982344741296
3,0.48987756334137694
4,0.5623103647997062
5,0.5605985109965849
6,0.6208687406806896
7,0.5916033935602375
8,0.5443045111072718
9,0.5170237624392527
10,0.5364539809353032
11,0.6037451044757389
12,0.5873410631164587
13,0.5577186180439714
14,0.5229652032455269
15,0.49830276368087056
16,0.47091419795240463
17,0.46205928915214567
18,0.4644707923497516
19,0.4595259377537557
20,0.4616719209914443
21,0.4573617682174427
22,0.444622266030995
23,0.45168582441674265
24,0.44809584906827044
25,0.45872168623207515
26,0.4578437051309913
27,0.4729761555115658
28,0.4674678943630658
29,0.4767346435408065
30,0.45479568148152866
31,0.4462226603099491
32,0.44061582444402214
33,0.49334881593556235
34,0.4758117681719769
35,0.47262371002310566
36,0.4548775198253388
37,0.419348766832556
38,0.3891558738561955
39,0.3898669581324126
40,0.387984676224779
41,0.4172773474192278
42,0.3879810389650541
43,0.38463839727787474
44,0.3634459034907691
45,0.5039102882658705
46,0.5653320045211139
47,0.4841112250612785
48,0.4595714035003169
49,0.5311381258473679
50,0.5337605901090178
51,0.5310593268858519
52,0.5796900872851403
53,0.49543251525374404
54,0.43194277863000796
55,0.49583009856130666
56,0.49418538567228837
57,0.49787538566319517
58,0.5120622978516006
59,0.5140542392660731
60,0.4969327272727273
61,0.4789325370159376
62,0.4845739268492511
63,0.484476758773413
